170023, 'Enclave de Protector', 'City', 'Non combat zone'
170045, 'Neverdeath Graveyard', 'Graveyard', 'Combat zone'
170067, 'Icewind Gale', 'Ice mountains', 'Combat zone'
170123, 'Well of Dragons', 'Desert', 'Combat zone'
170145, 'Moonstone Mask', 'Tavern', 'Non combat zone'
170156, 'Sharandar', 'Forest', 'Combat zone'
170178, 'The Chasm', 'Valleys', 'Combat zone'
170199, 'Vallenhas', 'Battlefield', 'Combat zone'
170245, 'Dragonbone Vale', 'Valleys', 'Combat zone'
170354, 'Neverfall castle', 'Castle', 'Non combat zone'
